Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
3586,359.81,-4.50,1.56,-0.77,-0.27,9.77,-0.06,0.28,-0.55,0.00
3599,359.81,-4.50,1.50,-0.78,-0.24,9.77,-0.07,0.22,-0.42,0.00
3611,359.81,-4.56,1.31,-0.78,-0.22,9.77,-0.12,0.20,-0.35,0.00
3624,359.81,-4.56,1.19,-0.78,-0.21,9.77,-0.09,0.17,-0.41,0.00
3639,359.81,-4.56,1.12,-0.78,-0.19,9.77,0.00,0.06,-0.27,0.00
3651,359.81,-4.56,1.00,-0.78,-0.17,9.77,0.02,-0.06,-0.20,0.00
3663,359.81,-4.56,0.94,-0.78,-0.16,9.77,-0.02,-0.08,-0.15,0.00
3676,359.81,-4.56,0.88,-0.78,-0.15,9.77,-0.01,-0.08,-0.18,0.00
3688,359.81,-4.56,0.81,-0.78,-0.14,9.77,-0.05,-0.15,-0.21,0.00
3701,359.88,-4.50,0.69,-0.77,-0.12,9.77,0.00,-0.06,-0.26,0.00
3713,359.88,-4.50,0.69,-0.77,-0.11,9.77,-0.02,0.11,-0.34,0.00
3726,359.88,-4.50,0.62,-0.77,-0.11,9.77,0.01,0.08,-0.41,0.00
3739,359.88,-4.44,0.62,-0.76,-0.10,9.77,-0.01,-0.03,-0.28,0.00
3751,359.88,-4.44,0.56,-0.76,-0.10,9.77,-0.04,-0.04,-0.32,0.00
3764,359.88,-4.44,0.50,-0.76,-0.09,9.77,-0.06,-0.01,-0.27,0.00
3777,359.88,-4.44,0.50,-0.75,-0.08,9.77,-0.02,0.04,-0.03,0.00
3788,359.88,-4.38,0.44,-0.75,-0.08,9.77,0.03,0.05,-0.03,0.00
3801,359.88,-4.31,0.38,-0.74,-0.06,9.77,0.08,-0.06,0.00,0.00
3813,359.88,-4.31,0.31,-0.74,-0.06,9.77,0.03,0.00,-0.20,0.00
3828,359.88,-4.31,0.31,-0.74,-0.05,9.77,0.02,-0.08,-0.23,0.00
3841,359.88,-4.31,0.25,-0.73,-0.04,9.77,0.00,0.13,-0.36,0.00
3852,359.88,-4.25,0.19,-0.73,-0.03,9.77,0.04,0.10,-0.36,0.00
3865,359.88,-4.25,0.19,-0.72,-0.03,9.77,0.12,0.19,-0.36,0.00
3879,359.88,-4.19,0.12,-0.72,-0.03,9.77,0.12,0.02,-0.34,0.00
3891,359.88,-4.19,0.12,-0.71,-0.02,9.78,0.07,-0.01,-0.37,0.00
3903,359.88,-4.12,0.12,-0.71,-0.02,9.78,0.00,0.00,-0.28,0.00
3915,359.88,-4.12,0.12,-0.71,-0.02,9.78,-0.02,0.00,-0.18,0.00
3926,359.88,-4.12,0.06,-0.70,-0.02,9.78,0.01,-0.01,-0.23,0.00
3938,359.88,-4.06,0.06,-0.70,-0.01,9.78,0.05,0.02,-0.10,0.00
3950,359.88,-4.06,0.06,-0.69,-0.01,9.78,0.06,0.02,-0.02,0.00
3963,359.94,-4.06,0.06,-0.69,-0.01,9.78,0.06,0.01,-0.09,0.00
3975,359.94,-4.06,0.00,-0.69,0.00,9.78,0.09,0.04,-0.15,0.00
3986,359.94,-4.06,0.00,-0.69,0.00,9.78,0.10,-0.08,-0.13,0.00
4000,359.94,-4.06,-0.06,-0.70,0.02,9.78,-0.11,0.01,-0.25,0.00
4013,0.00,-4.06,-0.19,-0.70,0.03,9.78,-0.09,0.21,-0.33,0.00
